Time,Intent_box1,Intent_box2,Intent_dummy,Completed_box1,Completed_box2,Completed_dummy
0.00,0.4140,0.4140,0.1720,0,0,0
0.50,0.4140,0.4140,0.1720,0,0,0
1.02,0.4140,0.4140,0.1720,0,0,0
1.54,0.4140,0.4140,0.1720,0,0,0
2.04,0.4140,0.4140,0.1720,0,0,0
2.56,0.3865,0.3865,0.2270,0,0,0
3.06,0.3720,0.3720,0.2561,0,0,0
3.58,0.3386,0.3386,0.3229,0,0,0
4.10,0.2848,0.2848,0.4305,0,0,0
4.60,0.2159,0.2159,0.5683,0,0,0
5.10,0.1547,0.1547,0.6905,0,0,0
5.60,0.1135,0.1135,0.7731,0,0,0
6.10,0.0900,0.0900,0.8200,0,0,0
6.60,0.0712,0.0911,0.8377,0,0,0
7.12,0.0543,0.1184,0.8274,0,0,0
7.62,0.0423,0.0936,0.8641,0,0,0
8.14,0.0586,0.0303,0.9112,0,0,0
8.66,0.2751,0.0533,0.6716,0,0,0
9.16,0.0653,0.0319,0.9028,0,0,0
9.68,0.0653,0.0319,0.9028,0,0,0
10.20,0.2045,0.3650,0.4306,0,0,0
10.70,0.2379,0.4059,0.3563,0,0,0
11.22,0.2269,0.5084,0.2647,0,0,0
11.74,0.2495,0.5622,0.1883,0,0,0
12.24,0.7055,0.1145,0.1800,0,0,0
12.76,0.4378,0.0569,0.5053,0,0,0
13.28,0.1276,0.0558,0.8166,0,0,0
13.80,0.5249,0.0525,0.4226,0,0,0
14.32,0.8317,0.0450,0.1233,0,0,0
14.82,0.8356,0.0344,0.1300,0,0,0
15.34,0.3938,0.0580,0.5483,0,0,0
15.86,0.1281,0.0759,0.7961,0,0,0
16.36,0.0736,0.0782,0.8482,0,0,0
16.88,0.1303,0.2168,0.6529,0,0,0
17.38,0.3978,0.3247,0.2775,0,0,0
17.90,0.5830,0.2494,0.1676,0,0,0
18.40,0.8629,0.0403,0.0968,0,0,0
18.92,0.5025,0.0553,0.4422,0,0,0
19.44,0.1187,0.1274,0.7539,0,0,0
19.94,0.0935,0.1467,0.7599,0,0,0
20.46,0.0612,0.1270,0.8117,0,0,0
20.96,0.0359,0.1026,0.8615,0,0,0
21.18,0.2711,0.7289,0.0000,0,0,1
21.70,0.5191,0.4809,0.0000,0,0,1
22.22,0.7493,0.2507,0.0000,0,0,1
22.74,0.8444,0.1556,0.0000,0,0,1
23.26,0.6488,0.3512,0.0000,0,0,1
23.78,0.8354,0.1646,0.0000,0,0,1
24.28,0.6440,0.3560,0.0000,0,0,1
24.80,0.6336,0.3664,0.0000,0,0,1
25.30,0.8979,0.1021,0.0000,0,0,1
25.82,0.9186,0.0814,0.0000,0,0,1
26.32,0.7378,0.2622,0.0000,0,0,1
26.82,0.9684,0.0316,0.0000,0,0,1
27.34,0.9625,0.0375,0.0000,0,0,1
27.84,0.9796,0.0204,0.0000,0,0,1
27.92,0.0000,1.0000,0.0000,1,0,1
28.26,0.0000,0.0000,0.0000,1,1,1
