Time,Intent_box1,Intent_box2,Intent_dummy,Completed_box1,Completed_box2,Completed_dummy
0.00,0.4140,0.4140,0.1720,0,0,0
0.52,0.4140,0.4140,0.1720,0,0,0
1.02,0.4140,0.4140,0.1720,0,0,0
1.54,0.3901,0.3901,0.2197,0,0,0
2.04,0.3822,0.3822,0.2355,0,0,0
2.54,0.3615,0.3615,0.2771,0,0,0
3.06,0.3204,0.3204,0.3591,0,0,0
3.58,0.2583,0.2583,0.4834,0,0,0
4.08,0.1836,0.1836,0.6327,0,0,0
4.60,0.1181,0.1181,0.7637,0,0,0
5.12,0.0755,0.0755,0.8490,0,0,0
5.62,0.0527,0.0527,0.8946,0,0,0
6.14,0.0410,0.0410,0.9179,0,0,0
6.66,0.0375,0.0375,0.9250,0,0,0
7.18,0.0375,0.0375,0.9250,0,0,0
7.70,0.0375,0.0375,0.9250,0,0,0
8.20,0.2056,0.0447,0.7496,0,0,0
8.72,0.2503,0.0510,0.6987,0,0,0
9.22,0.0690,0.0369,0.8941,0,0,0
9.72,0.0690,0.0369,0.8941,0,0,0
10.24,0.0690,0.0369,0.8941,0,0,0
10.76,0.0690,0.0369,0.8941,0,0,0
11.28,0.0690,0.0369,0.8941,0,0,0
11.62,0.1561,0.8439,0.0000,0,0,1
12.12,0.8483,0.1517,0.0000,0,0,1
12.64,0.8483,0.1517,0.0000,0,0,1
13.16,0.8483,0.1517,0.0000,0,0,1
13.68,0.8483,0.1517,0.0000,0,0,1
14.18,0.8483,0.1517,0.0000,0,0,1
14.70,0.8483,0.1517,0.0000,0,0,1
15.22,0.8483,0.1517,0.0000,0,0,1
15.74,0.8483,0.1517,0.0000,0,0,1
16.26,0.8483,0.1517,0.0000,0,0,1
16.76,0.8483,0.1517,0.0000,0,0,1
17.26,0.8462,0.1538,0.0000,0,0,1
17.38,1.0000,0.0000,0.0000,0,1,1
17.88,1.0000,0.0000,0.0000,0,1,1
18.38,1.0000,0.0000,0.0000,0,1,1
18.90,1.0000,0.0000,0.0000,0,1,1
19.40,1.0000,0.0000,0.0000,0,1,1
19.92,1.0000,0.0000,0.0000,0,1,1
20.44,1.0000,0.0000,0.0000,0,1,1
20.94,1.0000,0.0000,0.0000,0,1,1
21.44,1.0000,0.0000,0.0000,0,1,1
21.96,1.0000,0.0000,0.0000,0,1,1
22.46,1.0000,0.0000,0.0000,0,1,1
22.96,1.0000,0.0000,0.0000,0,1,1
23.14,0.0000,0.0000,0.0000,1,1,1
