Time,Intent_box1,Intent_box2,Intent_dummy,Completed_box1,Completed_box2,Completed_dummy
0.00,0.4140,0.4140,0.1720,0,0,0
0.51,0.4140,0.4140,0.1720,0,0,0
1.01,0.4140,0.4140,0.1720,0,0,0
1.53,0.4140,0.4140,0.1720,0,0,0
2.03,0.4140,0.4140,0.1720,0,0,0
2.55,0.4140,0.4140,0.1720,0,0,0
3.05,0.4140,0.4140,0.1720,0,0,0
3.55,0.4140,0.4140,0.1720,0,0,0
4.05,0.3883,0.3883,0.2234,0,0,0
4.57,0.3598,0.3980,0.2422,0,0,0
5.09,0.1604,0.6495,0.1901,0,0,0
5.59,0.1294,0.6975,0.1731,0,0,0
6.09,0.1113,0.7233,0.1654,0,0,0
6.59,0.0985,0.7429,0.1586,0,0,0
6.81,0.0000,0.2127,0.7873,1,0,0
7.33,0.0000,0.9062,0.0938,1,0,0
7.83,0.0000,0.9094,0.0906,1,0,0
8.35,0.0000,0.9400,0.0600,1,0,0
8.53,0.0000,0.0000,1.0000,1,1,0
9.05,0.0000,0.0000,1.0000,1,1,0
9.55,0.0000,0.0000,1.0000,1,1,0
10.07,0.0000,0.0000,1.0000,1,1,0
10.57,0.0000,0.0000,1.0000,1,1,0
11.07,0.0000,0.0000,1.0000,1,1,0
11.59,0.0000,0.0000,1.0000,1,1,0
12.09,0.0000,0.0000,1.0000,1,1,0
12.59,0.0000,0.0000,1.0000,1,1,0
13.05,0.0000,0.0000,0.0000,1,1,1
