Time,Intent_box1,Intent_box2,Intent_dummy,Completed_box1,Completed_box2,Completed_dummy
0.00,0.4140,0.4140,0.1720,0,0,0
0.51,0.4140,0.4140,0.1720,0,0,0
1.03,0.4140,0.4140,0.1720,0,0,0
1.53,0.4140,0.4140,0.1720,0,0,0
2.03,0.4140,0.4140,0.1720,0,0,0
2.53,0.4140,0.4140,0.1720,0,0,0
3.05,0.4140,0.4140,0.1720,0,0,0
3.55,0.3907,0.3907,0.2185,0,0,0
4.05,0.3846,0.3846,0.2309,0,0,0
4.57,0.3661,0.3661,0.2679,0,0,0
5.07,0.3299,0.3299,0.3403,0,0,0
5.57,0.2745,0.2745,0.4510,0,0,0
6.07,0.2020,0.2020,0.5960,0,0,0
6.59,0.1260,0.1260,0.7480,0,0,0
7.09,0.0708,0.0708,0.8585,0,0,0
7.61,0.0370,0.0370,0.9259,0,0,0
8.11,0.0218,0.0218,0.9563,0,0,0
8.63,0.1226,0.1226,0.7548,0,0,0
9.15,0.1233,0.1233,0.7534,0,0,0
9.67,0.0858,0.0858,0.8284,0,0,0
10.19,0.0820,0.0820,0.8361,0,0,0
10.71,0.0770,0.0770,0.8461,0,0,0
11.21,0.2920,0.2920,0.4160,0,0,0
11.73,0.2935,0.2935,0.4130,0,0,0
12.25,0.2935,0.2935,0.4130,0,0,0
12.75,0.2935,0.2935,0.4130,0,0,0
12.87,0.2075,0.7925,0.0000,0,0,1
13.37,0.7223,0.2777,0.0000,0,0,1
13.89,0.7223,0.2777,0.0000,0,0,1
14.39,0.7718,0.2282,0.0000,0,0,1
14.89,0.8335,0.1665,0.0000,0,0,1
15.41,0.9055,0.0945,0.0000,0,0,1
15.91,0.9493,0.0507,0.0000,0,0,1
16.43,0.9743,0.0257,0.0000,0,0,1
16.87,0.0000,1.0000,0.0000,1,0,1
17.37,0.0000,1.0000,0.0000,1,0,1
17.87,0.0000,1.0000,0.0000,1,0,1
18.39,0.0000,1.0000,0.0000,1,0,1
18.53,0.0000,0.0000,0.0000,1,1,1
